Unnamed: 0,Mean,Median,Histogram Path,Description Path,Heatmap Path,Group
Caloric Value,237.35934664246824,186.0,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Histogram_of_Caloric Value.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Heatmap.png,1
Fat,10.76693284936479,6.6,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Histogram_of_Fat.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Heatmap.png,1
Carbohydrates,15.819036297640654,5.1,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Histogram_of_Carbohydrates.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Heatmap.png,1
Protein,18.41785662431942,11.9,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Histogram_of_Protein.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Heatmap.png,1
Dietary Fiber,1.0981451905626136,0.0,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Histogram_of_Dietary Fiber.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-1_Heatmap.png,1
Caloric Value,251.68965517241375,155.0,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Histogram_of_Caloric Value.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Heatmap.png,2
Fat,6.402470219435737,1.8,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Histogram_of_Fat.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Heatmap.png,2
Carbohydrates,38.08805642633229,18.6,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Histogram_of_Carbohydrates.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Heatmap.png,2
Protein,5.305852664576802,2.0,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Histogram_of_Protein.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Heatmap.png,2
Dietary Fiber,2.8116959247648903,0.5,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Histogram_of_Dietary Fiber.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-2_Heatmap.png,2
Caloric Value,348.0367775831874,145.0,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Histogram_of_Caloric Value.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Heatmap.png,3
Fat,18.646373029772327,2.4,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Histogram_of_Fat.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Heatmap.png,3
Carbohydrates,14.243730297723292,0.8,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Histogram_of_Carbohydrates.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Heatmap.png,3
Protein,28.998455341506126,6.2,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Histogram_of_Protein.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Heatmap.png,3
Dietary Fiber,3.383385288966725,0.0,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Histogram_of_Dietary Fiber.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-3_Heatmap.png,3
Caloric Value,156.2198275862069,108.0,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Histogram_of_Caloric Value.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Heatmap.png,4
Fat,7.381918103448276,0.5,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Histogram_of_Fat.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Heatmap.png,4
Carbohydrates,17.82316810344828,14.0,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Histogram_of_Carbohydrates.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Heatmap.png,4
Protein,4.975905172413793,1.0,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Histogram_of_Protein.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Heatmap.png,4
Dietary Fiber,1.813288793103448,0.2,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Histogram_of_Dietary Fiber.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-4_Heatmap.png,4
Caloric Value,124.49030470914128,68.5,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Histogram_of_Caloric Value.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Heatmap.png,5
Fat,5.592144044321329,0.7,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Histogram_of_Fat.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Heatmap.png,5
Carbohydrates,15.770335180055405,8.149999999999999,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Histogram_of_Carbohydrates.png,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Description.csv,/Users/utsavdey/Desktop/FOODS DATASET/DATASET/GROUP-5_Heatmap.png,5
